"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
2.87173504223542e-303,-2.26989326143781,0.151,0.581,5.12920595893668e-299,"RNASEK",TRUE
5.69528131822782e-267,-1.78879264406178,0.19,0.612,1.01723419624867e-262,"RPL17",TRUE
2.39237738890054e-265,-12.7755457875611,0,0.309,4.27302525431526e-261,"TOMM6",TRUE
9.91582583709935e-228,-12.3086358868867,0,0.271,1.77106565276432e-223,"SEPTIN7",TRUE
3.12206385211526e-206,-12.1500665506878,0,0.249,5.57631824626307e-202,"MICOS10",TRUE
1.48545974307209e-204,-1.83566235445155,0.321,0.639,2.65317964710106e-200,"ARPC1B",TRUE
3.87434817539213e-192,-4.10508462320029,0.012,0.26,6.91997327606789e-188,"PSMA2",TRUE
9.00057297338445e-186,-2.16025701351129,0.226,0.559,1.6075923387762e-181,"CTSD",TRUE
2.73325394297923e-179,-11.9062284712923,0,0.22,4.88186486755521e-175,"RBIS",TRUE
2.84274537081031e-177,-2.17864865523196,0.082,0.366,5.0774275068043e-173,"EEF1G",TRUE
3.99119752954655e-172,-1.8039650790463,0.053,0.326,7.1286779075231e-168,"NDUFB8",TRUE
2.83194991388091e-165,-12.548212793641,0,0.204,5.0581457411827e-161,"SNHG29",TRUE
1.4167547061393e-145,-11.411139359787,0,0.182,2.53046558063541e-141,"SEPTIN9",TRUE
3.18076004622799e-131,-11.5380409868302,0,0.165,5.68115551856782e-127,"SEPTIN2",TRUE
1.77934423546098e-130,-11.3345313496211,0,0.165,3.17808673895685e-126,"CIAO2B",TRUE
3.89184285312172e-128,-3.34465685101028,0.015,0.197,6.95122051996071e-124,"TIMM10B",TRUE
2.23518235929846e-126,-10.8818744202058,0,0.16,3.99225921194298e-122,"CIAO2A",TRUE
2.42986973772499e-124,-2.76168749570398,0.026,0.212,4.33999033855061e-120,"DDX39B",TRUE
2.59253322439009e-115,-10.8369042430702,0,0.147,4.63052359208314e-111,"TLE5",TRUE
9.48690220798762e-113,-3.54990676521618,0.009,0.165,1.69445560336867e-108,"ARPC1A",TRUE
4.46984021235563e-111,-2.19204088041184,0.022,0.192,7.98358160328838e-107,"TRAPPC5",TRUE
1.24630675951879e-110,-9.93984243431367,0.002,0.146,2.22602850317651e-106,"S100A8",TRUE
2.05279287158264e-104,-12.4921032304945,0,0.134,3.66649334793376e-100,"PPIAL4H",TRUE
1.02824553918991e-101,-2.42013837821378,0.018,0.172,1.83654935754709e-97,"SQOR",TRUE
2.70271323101238e-100,-0.901039740967654,0.102,0.319,4.8273161019112e-96,"RAB5C",TRUE
7.61757737482746e-98,-1.03929230515825,0.412,0.641,1.36057549491793e-93,"MTRNR2L12",TRUE
1.90732539953522e-95,-1.26075697130612,0.034,0.2,3.40667389610985e-91,"NDUFA7",TRUE
1.94204182181941e-89,-0.567409676519943,0.125,0.355,3.46868089795164e-85,"NDUFC2",TRUE
1.94867592109674e-88,2.51365504297755,0.179,0.044,3.48053006267089e-84,"AC243756.1",TRUE
1.14932759422113e-87,-9.84556371740023,0,0.113,2.05281401603836e-83,"GET3",TRUE
2.83651624861138e-87,-1.22645416448995,0.196,0.402,5.06630167164479e-83,"RPS17",TRUE
3.26399691925617e-87,-1.75659794526335,0.17,0.361,5.82982489748345e-83,"ARPC4",TRUE
1.55725987156586e-86,-8.68521375181118,0.002,0.116,2.78142185660378e-82,"S100A9",TRUE
3.65947572492616e-85,-0.866719331991825,0.049,0.214,6.53618959229062e-81,"IER3IP1",TRUE
4.97487129419619e-85,-11.0501222331447,0,0.11,8.88561761856381e-81,"Z95331.1",TRUE
1.17176016489379e-80,-10.8504309315575,0,0.104,2.09288083051679e-76,"MICOS13",TRUE
1.12368862055698e-79,-1.52622593078975,0.02,0.15,2.00702024517683e-75,"IL10RB",TRUE
7.12392499573119e-78,-10.0257720214153,0,0.101,1.27240424348755e-73,"AL135905.2",TRUE
2.41834136611014e-76,-8.20656398059966,0.001,0.102,4.31939951400932e-72,"HLA-DRA",TRUE
7.16097124250493e-75,1.50406777125615,0.377,0.206,1.27902107362381e-70,"SEPT7",TRUE
1.34345374837062e-74,-1.28587204248821,0.048,0.196,2.39954273996477e-70,"LY6E",TRUE
2.63647309757285e-74,-3.13205506309886,0.008,0.115,4.70900459957487e-70,"TMED7",TRUE
8.61557733416578e-74,-3.10000679872114,0.007,0.112,1.53882826765535e-69,"PARL",TRUE
4.04372055809463e-73,-1.5817632309857,0.019,0.138,7.22248928881281e-69,"VKORC1",TRUE
6.46953856225695e-73,-0.862434888376063,0.208,0.411,1.15552428260471e-68,"CSNK2B",TRUE
1.1772887682049e-72,-1.08673401516692,0.06,0.214,2.10275546889077e-68,"CRIP1",TRUE
4.53748892810843e-71,-0.328015100888912,0.092,0.272,8.10440897449446e-67,"CHURC1",FALSE
1.95546483644732e-69,-1.6704576345585,0.017,0.129,3.49265574437856e-65,"SDHAF2",TRUE
5.91851330171089e-69,-1.01999366562333,0.049,0.188,1.05710566081858e-64,"HNRNPH2",TRUE
1.80424627807806e-68,-2.89520803245455,0.026,0.144,3.22256427727522e-64,"LST1",TRUE
3.50030151993232e-68,-1.44567141960728,0.125,0.284,6.25188854475112e-64,"EIF4A1",TRUE
4.71783608138548e-68,-0.840246821828788,0.095,0.265,8.42652702496261e-64,"ATP5PO",TRUE
2.4424351712962e-67,-1.77679069740395,0.022,0.137,4.36243345945215e-63,"IL2RG",TRUE
2.8843229910163e-67,-0.729852151158032,0.385,0.594,5.15168929425422e-63,"RPS16",TRUE
4.55794037385685e-67,-1.2373810653348,0.1,0.257,8.14093730174572e-63,"UBE2V1",TRUE
5.37262004159775e-67,-0.508266550390398,0.601,0.782,9.59603665629774e-63,"RPL26",TRUE
5.56721256986207e-67,-1.14920528614876,0.341,0.527,9.94359837103065e-63,"FOS",TRUE
2.22304814305447e-66,-1.33275523107154,0.164,0.346,3.97058628830959e-62,"HLA-B",TRUE
1.72723422649189e-64,2.0528586156054,0.156,0.045,3.08501305193716e-60,"FAM220A",TRUE
4.67232871657904e-64,-0.972514074250705,0.178,0.36,8.34524632068182e-60,"HLA-A",TRUE
3.89468601983817e-63,-3.74477647202064,0.018,0.121,6.95629870003296e-59,"HLA-DRB5",TRUE
1.62863834547614e-62,-1.87094630332833,0.037,0.156,2.90891094885493e-58,"HNRNPUL2",TRUE
4.74817244260073e-62,-1.16572268296389,0.044,0.171,8.48071079972916e-58,"TMBIM4",TRUE
2.55551122458246e-61,-2.00342700728503,0.061,0.19,4.56439859822674e-57,"AIF1",TRUE
5.803317112152e-61,2.36608287298758,0.126,0.03,1.03653046940147e-56,"SEPT5",TRUE
1.10843537569579e-59,-0.836737365860467,0.121,0.28,1.97977642453024e-55,"STXBP2",TRUE
9.63125377576428e-59,-0.633627113347116,0.086,0.238,1.72023823688926e-54,"ZFAS1",TRUE
6.12740746278062e-58,-0.982363251634617,0.163,0.332,1.09441624692725e-53,"JUNB",TRUE
1.61553939650468e-57,-0.490208724797828,0.663,0.822,2.88551491609701e-53,"RPS27",FALSE
3.69015901725618e-57,-0.440848752752135,0.884,0.922,6.59099302072126e-53,"RPLP1",FALSE
5.36832839776453e-57,-0.688050721901969,0.123,0.282,9.58837135124722e-53,"AKAP13",TRUE
7.08330420374772e-57,-0.553256817782852,0.485,0.685,1.26514896383138e-52,"RPS18",TRUE
9.49648150676193e-57,-0.815058053519734,0.096,0.241,1.69616656192275e-52,"DDX17",TRUE
1.00197133672511e-56,-1.08727123679458,0.073,0.208,1.78962100452472e-52,"SLC44A1",TRUE
3.24735813247013e-56,-1.27052645779212,0.041,0.154,5.8001063604049e-52,"MAN2B1",TRUE
6.58118912553874e-56,-2.5265122981531,0.062,0.185,1.17546618971247e-51,"IFI30",TRUE
2.74610342145822e-55,-1.72114566734745,0.018,0.113,4.90481532106653e-51,"SPN",TRUE
6.17166771319874e-55,-1.20424938119646,0.237,0.411,1.10232157025443e-50,"DUSP1",TRUE
