"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019882","antigen processing and presentation","15/342","102/12706",0.147058823529412,5.46353629170967,7.52741479663774,8.68085087949887e-08,0.000330045950438547,0.000285737060002031,"CTSD/GET3/HLA-DRA/HLA-B/HLA-A/HLA-DRB5/IFI30/HLA-DPA1/HLA-DMA/CD68/CALR/CTSS/RAB27A/AP3D1/CTSH",15
"GO:0007159","leukocyte cell-cell adhesion","29/342","364/12706",0.0796703296703297,2.95991581517897,6.30980921049282,1.74383155455612e-07,0.000331502378521118,0.000286997961636684,"S100A8/S100A9/HLA-DRA/IL2RG/HLA-A/HLA-DRB5/AIF1/SPN/HLA-DPA1/SELPLG/SYK/HLA-DMA/CD4/TGFB1/CD69/DOCK8/ARID1A/RARA/SMARCA2/NFKBIZ/PAG1/SIRPA/RUNX1/EP300/ARID2/AP3D1/RIPOR2/ITGB2/STK10",29
"GO:0006909","phagocytosis","21/342","212/12706",0.0990566037735849,3.6801555776233,6.5448255317345,2.71612733557195e-07,0.000344223870994819,0.000298011585204684,"IL2RG/AIF1/SYK/CD302/TGFB1/RARA/CYBA/RAB31/MYH9/CALR/HCK/SIRPA/LYAR/LYST/ARAP1/FGR/ITGAM/RAB27A/MYO1G/CFP/ITGB2",21
"GO:0048002","antigen processing and presentation of peptide antigen","11/342","59/12706",0.186440677966102,6.92665279016751,7.58861676837819,4.03159878189895e-07,0.000383203464219495,0.000331758141868369,"CTSD/GET3/HLA-DRA/HLA-B/HLA-A/HLA-DRB5/IFI30/HLA-DPA1/HLA-DMA/CALR/CTSS",11
"GO:0050764","regulation of phagocytosis","13/342","88/12706",0.147727272727273,5.48837054758107,7.02676885932225,6.03069679056244e-07,0.000458574183954368,0.000397010291875553,"IL2RG/SYK/TGFB1/CYBA/RAB31/CALR/HCK/SIRPA/LYAR/ARAP1/FGR/RAB27A/CFP",13
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","22/342","251/12706",0.0876494023904383,3.2563546981664,6.00472684242677,1.15902656016702e-06,0.000657333777282086,0.000569086276353465,"HLA-DRA/IL2RG/HLA-A/HLA-DRB5/AIF1/SPN/HLA-DPA1/SYK/HLA-DMA/CD4/TGFB1/DOCK8/ARID1A/RARA/SMARCA2/NFKBIZ/SIRPA/RUNX1/EP300/ARID2/AP3D1/ITGB2",22
"GO:0050870","positive regulation of T cell activation","21/342","232/12706",0.0905172413793103,3.36290078644888,6.04098140565749,1.21024104181341e-06,0.000657333777282086,0.000569086276353465,"HLA-DRA/IL2RG/HLA-A/HLA-DRB5/AIF1/SPN/HLA-DPA1/SYK/HLA-DMA/CD4/TGFB1/DOCK8/ARID1A/RARA/SMARCA2/NFKBIZ/SIRPA/RUNX1/EP300/ARID2/AP3D1",21
"GO:0042742","defense response to bacterium","19/342","204/12706",0.0931372549019608,3.46023965141612,5.89146958085932,2.56916737652809e-06,0.00122099679569497,0.0010570771561057,"S100A8/S100A9/HLA-A/SPN/GRN/SYK/CD4/RNF213/FOXP1/HUWE1/CYBA/HCK/NFKBIZ/LYST/PRG2/FGR/PIM1/CFP/ACP5",19
"GO:0022409","positive regulation of cell-cell adhesion","23/342","286/12706",0.0804195804195804,2.9877520140678,5.65464454872626,2.91236079608155e-06,0.00123031063852245,0.00106514060928035,"HLA-DRA/IL2RG/HLA-A/HLA-DRB5/AIF1/SPN/HLA-DPA1/SYK/HLA-DMA/CD4/TGFB1/DOCK8/ARID1A/PLAUR/RARA/SMARCA2/NFKBIZ/SIRPA/RUNX1/EP300/ARID2/AP3D1/ITGB2",23
"GO:1903037","regulation of leukocyte cell-cell adhesion","25/342","333/12706",0.0750750750750751,2.7891927014734,5.50253251768742,3.7115049061881e-06,0.00141111416533272,0.00122167114122634,"HLA-DRA/IL2RG/HLA-A/HLA-DRB5/AIF1/SPN/HLA-DPA1/SYK/HLA-DMA/CD4/TGFB1/CD69/DOCK8/ARID1A/RARA/SMARCA2/NFKBIZ/PAG1/SIRPA/RUNX1/EP300/ARID2/AP3D1/RIPOR2/ITGB2",25
"GO:0019884","antigen processing and presentation of exogenous antigen","9/342","48/12706",0.1875,6.96600877192982,6.88720246299221,4.43303929862715e-06,0.00153221958303459,0.00132651807529255,"CTSD/HLA-DRA/HLA-A/HLA-DRB5/IFI30/HLA-DPA1/HLA-DMA/CTSS/AP3D1",9
"GO:0032928","regulation of superoxide anion generation","6/342","18/12706",0.333333333333333,12.3840155945419,8.03814875596188,5.13894937180252e-06,0.00162819045929943,0.00140960479698478,"SYK/TGFB1/CYBA/ITGAM/ACP5/ITGB2",6
"GO:0030100","regulation of endocytosis","21/342","257/12706",0.0817120622568093,3.03577035975152,5.48338834469561,6.17713074480538e-06,0.00178770801595878,0.00154770701456383,"RAB5C/IL2RG/SYK/RAB4B/AAK1/TGFB1/LRPAP1/PICALM/PPP3R1/CYBA/RAB31/CALR/HCK/SIRPA/LYAR/ARAP1/RABEP1/FGR/RAB27A/CFP/APOC2",21
"GO:0050863","regulation of T cell activation","25/342","344/12706",0.0726744186046512,2.7000033999728,5.31625165770262,6.58282804403549e-06,0.00178770801595878,0.00154770701456383,"HLA-DRA/IL2RG/HLA-A/HLA-DRB5/AIF1/JUNB/SPN/HLA-DPA1/SYK/HLA-DMA/CD4/TGFB1/CD69/DOCK8/ARID1A/RARA/SMARCA2/NFKBIZ/PAG1/SIRPA/RUNX1/EP300/ARID2/AP3D1/RIPOR2",25
