"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.29392152362632,0.911,0.479,0,"0","TPSAB1"
0,1.219238301978,0.87,0.469,0,"0","TPSB2"
0,1.6644607617708,0.993,0.606,0,"0","HPGD"
0,0.982739068788147,0.927,0.573,0,"0","MT-ND4L"
0,0.916841172334056,0.924,0.573,0,"0","MT-ND3"
0,1.27951750836829,0.989,0.646,0,"0","B2M"
0,1.51232026024508,0.746,0.429,0,"0","HPGDS"
0,0.945759868176753,0.92,0.606,0,"0","MT-ATP6"
0,1.19823244951835,0.985,0.672,0,"0","MT-CYB"
0,1.31462896826631,0.85,0.549,0,"0","MT-ND2"
0,1.13976450751511,0.919,0.628,0,"0","MT-ND4"
0,1.10466736978927,0.993,0.706,0,"0","MT-CO2"
0,0.942871574650141,0.986,0.744,0,"0","RPL10"
0,1.0348520998276,0.936,0.697,0,"0","RPS26"
0,1.10428246567695,0.99,0.779,0,"0","PTMA"
0,1.37496700331541,0.999,0.793,0,"0","MALAT1"
0,0.916894272957228,0.996,0.798,0,"0","MT-CO1"
0,1.03777704334066,0.906,0.722,0,"0","RPL5"
0,0.856521836514798,0.972,0.84,0,"0","RPL39"
0,1.17130651176389,0.952,0.826,0,"0","LGALS3"
0,0.828200160744569,0.975,0.862,0,"0","RPL11"
0,0.865933303143462,0.961,0.855,0,"0","SH3BGRL3"
0,0.963948515458307,0.962,0.856,0,"0","RPS13"
0,0.811869918502257,0.965,0.87,0,"0","RPL30"
0,0.983577310689846,1,0.988,0,"0","FTH1"
6.65940666005588e-309,0.903346416894123,0.894,0.713,1.18943662355258e-304,"0","RPL12"
7.13109643531269e-304,0.718781743244156,0.973,0.865,1.2736851343112e-299,"0","VIM"
5.80053908927183e-294,1.37933471183342,0.671,0.41,1.03603428673484e-289,"0","VWA5A"
5.62438701546076e-264,0.837248242383232,0.791,0.472,1.00457176483145e-259,"0","CPA3"
2.4505639299329e-262,1.38480032860088,0.623,0.375,4.37695223525316e-258,"0","SLC18A2"
5.0855495161851e-245,1.36262182846946,0.659,0.468,9.0832999908582e-241,"0","RGS10"
1.866804310688e-239,0.725532140602419,0.903,0.827,3.33429917931983e-235,"0","RPL7A"
5.43340433974882e-235,1.30758554163485,0.633,0.416,9.70460349122537e-231,"0","CLU"
6.55700939105722e-231,1.97050529307869,0.476,0.256,1.17114744733673e-226,"0","SOX4"
9.37447087813601e-229,1.79351093181998,0.518,0.284,1.67437424354387e-224,"0","UTS2"
2.41263334599101e-221,0.595648064909423,0.954,0.805,4.30920441927454e-217,"0","TMSB10"
2.5099339814763e-207,0.957924864699512,0.753,0.687,4.48299308431482e-203,"0","ATP5MC2"
6.41621525649793e-206,0.688906353973734,0.886,0.604,1.1460002069631e-201,"0","MT-CO3"
1.68253043404632e-198,0.636620977804045,0.88,0.596,3.00516760825012e-194,"0","S100A4"
3.775118106078e-198,0.648789784451545,0.913,0.846,6.74273844926592e-194,"0","RPL6"
2.45900894334528e-197,1.52552564278075,0.505,0.305,4.392035873709e-193,"0","AL157895.1"
6.47837280136338e-197,1.0412905578559,0.636,0.417,1.15710216605151e-192,"0","CTSG"
2.72227130361851e-184,0.725037262721657,0.834,0.823,4.86224877539301e-180,"0","CLIC1"
2.72662580189218e-181,0.692379861897,0.868,0.797,4.87002634475963e-177,"0","RPL8"
1.66531304628269e-174,1.09835721162278,0.574,0.365,2.97441563196552e-170,"0","TPSD1"
1.10811379531811e-173,0.7316912392681,0.822,0.75,1.97920204981768e-169,"0","RPL22"
7.2617259160665e-173,1.34032538895333,0.555,0.411,1.29701686586864e-168,"0","UQCRQ"
6.1014030740708e-170,0.543445386014441,0.944,0.889,1.08977160305978e-165,"0","RPL34"
5.04618426490049e-167,0.810076153874179,0.701,0.507,9.01298971553877e-163,"0","MT-ND1"
3.1341663341393e-165,0.67797128546836,0.826,0.562,5.5979344894062e-161,"0","RPS15A"
4.43991370520617e-165,1.14780783834051,0.612,0.465,7.93012986886874e-161,"0","MYL12A"
1.78828194919382e-162,0.835938704386626,0.723,0.528,3.19405038945509e-158,"0","MT-ND5"
8.32323909941872e-158,1.18464342725371,0.569,0.424,1.48661373554718e-153,"0","CSTB"
1.68668476513459e-157,1.28359066476235,0.506,0.32,3.01258765900689e-153,"0","RAB27B"
1.02235465067247e-146,1.18399341161377,0.621,0.584,1.82602764156609e-142,"0","SRP14"
8.54311453167297e-146,0.985688248908356,0.631,0.499,1.52588568650211e-141,"0","PPDPF"
4.80037417095606e-141,0.65649897952156,0.813,0.732,8.57394830674462e-137,"0","RPL14"
1.88178107042954e-135,1.21114911585338,0.489,0.32,3.3610491698942e-131,"0","FCER1A"
1.58263499584313e-126,0.981442443878165,0.54,0.366,2.82674436607542e-122,"0","MS4A2"
2.7628966609972e-124,0.764708663427509,0.664,0.49,4.93480972620711e-120,"0","TYROBP"
2.96756054739486e-123,1.0362696639418,0.527,0.362,5.30035989370195e-119,"0","RHEX"
8.03166757064125e-122,1.15623178294014,0.564,0.471,1.43453614479223e-117,"0","CTSC"
2.09563737543856e-121,0.435402034216313,0.951,0.863,3.74301791627081e-117,"0","RPS8"
3.92123652833424e-117,1.27846260845627,0.49,0.387,7.00372056325778e-113,"0","ATP5ME"
6.16342214518513e-110,0.606591082235599,0.785,0.72,1.10084882935152e-105,"0","RPL18"
1.86914557898653e-104,0.53895503940617,0.719,0.593,3.33848091862785e-100,"0","FXYD5"
2.55317329194416e-104,1.23042878421693,0.512,0.444,4.56022281674146e-100,"0","COMMD6"
3.18699802601001e-103,0.654753322850192,0.749,0.73,5.69229717425647e-99,"0","NACA"
1.01463321136908e-102,1.05234371194524,0.523,0.41,1.81223637882632e-98,"0","TIMP1"
2.68778378683997e-98,0.357147595059242,0.962,0.889,4.80065062167486e-94,"0","RPLP1"
3.16237676928363e-96,1.18341219921089,0.479,0.373,5.64832114761749e-92,"0","TESC"
1.60575410243462e-95,0.260167231234543,0.656,0.502,2.86803740235847e-91,"0","SRGN"
4.40228955011821e-94,0.837060633002396,0.596,0.5,7.86292936546613e-90,"0","CAPG"
3.55070944615794e-90,0.416350349106016,0.904,0.816,6.3419221417827e-86,"0","RPL32"
9.37672905602609e-90,0.802831370293714,0.648,0.646,1.67477757669682e-85,"0","RPL36AL"
2.98831473406178e-88,1.3095855061516,0.467,0.396,5.33742894650774e-84,"0","C4orf48"
4.94408838788144e-88,1.24147947160614,0.458,0.376,8.83063626959504e-84,"0","CD99"
5.73930681398e-87,0.385633012847864,0.889,0.833,1.02509759004497e-82,"0","RPS4X"
1.11723538556214e-86,0.330491825478091,0.09,0.268,1.99549412215253e-82,"0","SELENOT"
1.20260568432368e-83,0.733957331397919,0.663,0.656,2.14797401277053e-79,"0","CD63"
3.12189062535082e-80,0.256308959873797,0.158,0.381,5.5760088459391e-76,"0","UBE2L3"
2.25914818378595e-79,0.273067236076429,0.11,0.292,4.03506457106008e-75,"0","CIB1"
2.7075709193668e-78,1.30929743027975,0.433,0.337,4.83599241908104e-74,"0","MT2A"
8.16392426060359e-78,0.31661891043117,0.104,0.281,1.45815851218641e-73,"0","NDUFS6"
1.3420438446962e-77,0.373154828525259,0.921,0.88,2.39702451101189e-73,"0","RPL28"
1.15646680534866e-76,0.362639392879837,0.103,0.277,2.06556536103325e-72,"0","NDUFB6"
2.04846714949223e-76,1.3965454750928,0.323,0.203,3.65876717570808e-72,"0","APOC1"
9.79095139686389e-75,0.26072680550643,0.096,0.263,1.74876182899386e-70,"0","COPS6"
2.43602754455813e-74,0.270280677622369,0.119,0.302,4.35098879733528e-70,"0","ERGIC3"
4.77239293098726e-73,0.326716252304707,0.896,0.822,8.52397101403634e-69,"0","RPL41"
4.20439089021171e-71,0.293691109760177,0.12,0.299,7.50946256900714e-67,"0","TXNL1"
4.37298291378082e-71,0.668987388146909,0.687,0.736,7.81058478230393e-67,"0","HSP90AB1"
2.70172538981048e-70,0.993520410405746,0.504,0.425,4.82555171874051e-66,"0","NEAT1"
1.06074878334823e-69,0.277515783529901,0.16,0.37,1.89460340193827e-65,"0","NDUFV2"
3.9183424185807e-69,0.299283371979481,0.142,0.336,6.99855139382699e-65,"0","SF3B5"
1.10012735249826e-68,0.270264841398208,0.198,0.437,1.96493746429714e-64,"0","PSMB1"
8.72123804025691e-68,0.289832214509827,0.106,0.27,1.55770032637029e-63,"0","COPS9"
9.87788623870828e-67,0.360046526074773,0.908,0.858,1.76428926109569e-62,"0","RPL19"
1.83564677742305e-66,0.488999033887771,0.802,0.902,3.27864870915531e-62,"0","ATP5F1E"
1.03413771714111e-65,0.252202994200672,0.217,0.465,1.84707337658573e-61,"0","NEDD8"
1.91810974561011e-65,0.2641082032656,0.103,0.261,3.42593581663422e-61,"0","ACAP2"
2.44763229355296e-65,0.329361306766258,0.104,0.264,4.37171603951495e-61,"0","LSM8"
9.7908192672608e-65,1.16068153078942,0.474,0.438,1.74873822932545e-60,"0","PEBP1"
2.67956821761842e-64,0.479112647690634,0.533,0.43,4.78597679348825e-60,"0","CST3"
1.12377732645591e-63,0.333239680810568,0.114,0.277,2.00717868278291e-59,"0","TMEM9B"
1.05653639645095e-62,1.1379148424129,0.379,0.289,1.88707965770105e-58,"0","BACE2"
3.42604695625728e-62,0.308742403537872,0.136,0.314,6.11926246857113e-58,"0","SNU13"
3.46548747695993e-62,0.267200883988344,0.176,0.385,6.18970718259813e-58,"0","SRRM1"
5.25556992842326e-62,0.451821732594846,0.123,0.291,9.38697344915679e-58,"0","ZC3H15"
